duration,epoch,mean_actor_loss,mean_critic_loss,mean_epoch_rewards,mean_epoch_steps,mean_q_value,test_epoch_rewards,test_epoch_steps,total_steps
19746.716282367706,32,1.0,0.95956373,-7.944461743860575,102.41,-1.0,-8.359166837316527,200.97,160000
20353.421226263046,33,1.0,1.0276183,-5.78647158537807,111.58,-1.0,-8.063046628149166,200.97,165000
20979.17049050331,34,1.0,1.013041,-6.772926377333536,108.86,-1.0,-7.833958102281189,200.97,170000
21601.62085223198,35,1.0,0.96164685,-8.452290092939975,102.63,-1.0,-7.913876281203626,202.0,175000
22221.365614652634,36,1.0,1.0308123,-6.30016536589209,106.86,-1.0,-8.174721368835401,202.0,180000
22838.59007692337,37,1.0,1.0063012,-4.920773201013531,107.58,-1.0,-7.838829513875986,202.0,185000
23469.005869865417,38,1.0,0.8633779,-5.835973377251281,102.62,-1.0,-7.531099819830466,202.0,190000
24081.828838825226,39,1.0,1.1594397,-6.527369313207682,105.72,-1.0,-8.243493232322646,202.0,195000
24703.814146995544,40,1.0,1.0314866,-6.136886102677681,106.82,-1.0,-8.207990132198113,202.0,200000
25337.087127685547,41,1.0,1.0600309,-5.88706996472393,103.37,-1.0,-8.183794123043771,202.0,205000
25956.722741127014,42,1.0,1.1405263,-5.793230538269517,104.79,-1.0,-7.554607580602088,202.0,210000
26556.973934173584,43,1.0,1.0170323,-8.732271311847622,107.79,-1.0,-7.646118434177049,202.0,215000
27186.082859277725,44,1.0,1.0310956,-8.781118624978536,105.9,-1.0,-7.129735795540688,202.0,220000
27808.770315885544,45,1.0,1.062071,-6.159594627574507,103.86,-1.0,-7.355557502040577,202.0,225000
28406.59525680542,46,1.0,1.0171273,-4.45298682514933,112.06,-1.0,-7.394592316204173,202.0,230000
29025.52501320839,47,1.0,1.0094205,-6.113810839887493,111.46,-1.0,-7.250195768673384,202.0,235000
29647.154957532883,48,1.0,0.8709344,-7.0816684559277885,107.83,-1.0,-7.646214567508647,202.0,240000
30272.276526212692,49,1.0,1.1558881,-9.319075158017124,101.56,-1.0,-7.50157614354524,202.0,245000
30888.103710889816,50,1.0,1.074872,-8.885003279844513,102.05,-1.0,-7.414563010978511,202.0,250000
31512.496965885162,51,1.0,1.0412449,-7.997121395504887,103.02,-1.0,-7.674774658664002,202.0,255000
32130.368631601334,52,1.0,0.9227249,-8.19019397157456,102.12,-1.0,-7.968341480042719,202.0,260000
32768.62227392197,53,1.0,1.1008438,-7.3496456236266,99.64,-1.0,-8.107098883968819,202.0,265000
33384.59307551384,54,1.0,0.86390823,-5.111349446033612,102.52,-1.0,-8.899452289300974,202.0,270000
33983.05285310745,55,1.0,1.030889,-6.406447020524671,115.31,-1.0,-9.031485141392551,202.0,275000
34610.43383383751,56,1.0,1.0724161,-8.33805431669698,113.69,-1.0,-8.887075080988204,202.0,280000
35237.6080930233,57,1.0,0.9636209,-9.729794909190296,99.34,-1.0,-9.203996784895487,202.0,285000
